Datetime,Tweet Id,Text,Source,Likes,RT
2022-10-04 03:21:45,1577136867656417280,"RT @psisfcofficial: ""Kami Arema, Salam Satu Jiwa"" 🌟

Cuplikan video kami dari Semarang malam lalu untuk mengirim doa dan semangat bagi dulu…",Twitter Web App,0,1290
2022-10-04 03:21:45,1577136867631583232,"RT @SportsTime_id: KAMI MANUSIA PAK BUKAN BINATANG‼️ 

Bisakah anda lebih bijak dlm meredam agar tidak memakan banyak korban nyawa?🥀

#Pray…",Twitter for Android,0,530
2022-10-04 03:21:44,1577136863319449600,"RT @kelas_teknisi: Salah satu supporter yang turun ke lapangan memberitahu polis jangan pake gas air mata krn ada anak kecil.

Sumber insta…",Twitter for iPhone,0,7170
2022-10-04 03:21:41,1577136849788993536,"RT @abahgembos87: KALIAN SEMUA PEMBUNUH 
#KanjuruhanDisaster #PrayForKanjuruhan #aremania https://t.co/z4Xgu5kdCL",Twitter for Android,0,3903
2022-10-04 03:21:41,1577136848107106304,"Mau cari kambaing hitam apalagi...saksi ribuan orang...
@ListyoSigitP @DivHumas_Polri @Puspen_TNI @AJEnglish… https://t.co/hodKPARbkm",Twitter for Android,0,0
2022-10-04 03:21:40,1577136844403544064,"RT @Amar_0599: Sekolah hukum 4 tahun aja kadang belum tentu paham hukum, kok bisa pendidikan berapa bulan aja dah jadi penegak hukum. 
Akib…",Twitter for iPhone,0,826
2022-10-04 03:21:39,1577136841655955457,"RT @ResNgawi: Mari bersama meluangkan waktu untuk saudara kita. 🤲
#PrayForKanjuruhan https://t.co/lXKJ670dAT",Twitter for Android,0,37
2022-10-04 03:21:37,1577136831451529216,"RT @kelas_teknisi: Salah satu supporter yang turun ke lapangan memberitahu polis jangan pake gas air mata krn ada anak kecil.

Sumber insta…",Twitter for iPhone,0,7170
2022-10-04 03:21:34,1577136820885671936,"RT @BTS_AHC_IDN: Mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak.

#PrayForKanjuruhan #DukaUntukKanjuruhan 

Hai ARMY…",Twitter for Android,0,3434
2022-10-04 03:21:33,1577136815844491265,"RT @abahgembos87: KALIAN SEMUA PEMBUNUH 
#KanjuruhanDisaster #PrayForKanjuruhan #aremania https://t.co/z4Xgu5kdCL",Twitter for Android,0,3903
2022-10-04 03:21:32,1577136812929486848,"RT @MCAOps: Panglima TNI angkat bicara terkait aksi viral seorang prajurit menendang suporter di Stadion Kanjuruhan,
Tindakan yang dilakuka…",Twitter for Android,0,84
2022-10-04 03:21:29,1577136800874700801,"RT @abahgembos87: KALIAN SEMUA PEMBUNUH 
#KanjuruhanDisaster #PrayForKanjuruhan #aremania https://t.co/z4Xgu5kdCL",Twitter for Android,0,3903
2022-10-04 03:21:29,1577136798903328769,"RT @difabel1933: Assalamualaikum,Wr.Wb.
Dulur2 Bobotoh,Viking/Masy Umum diinformasikan un sholat ghaib bagi kawan2 Aremania, hr ini jam11.3…",Twitter Web App,0,9
2022-10-04 03:21:27,1577136790200147971,"RT @Amar_0599: Sekolah hukum 4 tahun aja kadang belum tentu paham hukum, kok bisa pendidikan berapa bulan aja dah jadi penegak hukum. 
Akib…",Twitter for iPhone,0,826
2022-10-04 03:21:27,1577136789868802049,"RT @Asroel_Boz: #PrayForKanjuruhan 
#StopPoliceBrutality 
#ACAB",Twitter Web App,0,227
2022-10-04 03:21:23,1577136774618714112,"RT @BaliUtd: 🖤🕯

#PrayForKanjuruhan #BaliUnited https://t.co/QXDnBCfOsg",Twitter for iPhone,0,602
2022-10-04 03:21:20,1577136762534916102,"RT @BTS_AHC_IDN: Mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak.

#PrayForKanjuruhan #DukaUntukKanjuruhan 

Hai ARMY…",Twitter for Android,0,3434
2022-10-04 03:21:20,1577136761939333120,RT @rodrigosantono: #UsutTuntas #PrayForKanjuruhan https://t.co/3H6VEm27js,Twitter for Android,0,184
2022-10-04 03:21:18,1577136752673710080,"RT @BTS_AHC_IDN: Mari sejenak kita panjatkan doa untuk korban dan pihak yang terdampak.

#PrayForKanjuruhan #DukaUntukKanjuruhan 

Hai ARMY…",Twitter for Android,0,3434
2022-10-04 03:21:16,1577136744633278465,"RT @psisfcofficial: ""Kami Arema, Salam Satu Jiwa"" 🌟

Cuplikan video kami dari Semarang malam lalu untuk mengirim doa dan semangat bagi dulu…",Twitter Web App,0,1290
2022-10-04 03:21:13,1577136731811622912,#makganjar  #Makganjarntt  #PrayForKanjuruhan @ganjarpranowo https://t.co/B3JqjliiD8,Twitter for iPhone,1,0
2022-10-04 03:21:09,1577136716510482432,"RT @ResNgawi: Mari bersama meluangkan waktu untuk saudara kita. 🤲
#PrayForKanjuruhan https://t.co/lXKJ670dAT",Twitter for Android,0,37
2022-10-04 03:21:07,1577136709401473027,"RT @IbnoeAhmad4: Tragedi Kanjuruhan yg dilakukan oleh TNI-AD baret hijau,,...akhirnya harus meregang nyawa,tanpa ada belas kasihan dari san…",Twitter for iPhone,0,9319
2022-10-04 03:21:06,1577136702027505666,"RT @pamungkas_gus: Mayat berjatuhan di ruang pers. Kondisi di Stadion Kanjuruhan malam itu (1/10) memang tidak karuan.
-
Saya menulis penga…",Twitter for iPhone,0,1538
2022-10-04 03:21:04,1577136694431993856,"RT @BosPurwa: Menanti suara lantang 'SAYA MUNDUR' atas peristiwa Kanjuruhan dari ketum PSSI, pejabat polisi dan pejabat negara lainnya 

Ja…",Twitter for Android,0,89
2022-10-04 03:21:03,1577136691927605249,"RT @BosPurwa: Menanti suara lantang 'SAYA MUNDUR' atas peristiwa Kanjuruhan dari ketum PSSI, pejabat polisi dan pejabat negara lainnya 

Ja…",Twitter for Android,0,89
2022-10-04 03:21:02,1577136688044072960,RT @detikcom: Puluhan anak dilaporkan tewas dalam tragedi maut di Stadion Kanjuruhan. Korban tewas paling muda berusia tiga atau empat tahu…,Twitter Web App,0,177
2022-10-04 03:21:00,1577136680099713025,"RT @btsarmyproject_: Hai ARMY dan #OrangBaik

Atas nama ARMY INDONESIA kami mengucapkan turut berduka cita kepada seluruh korban dari trage…",Twitter for Android,0,46
2022-10-04 03:20:59,1577136674168967169,"RT @Wingsofbangtan_: Belum sampai 24 jam! 

Sebarkan kebaikan ARMY #PrayForKanjuruhan 

https://t.co/IyTJd3yPhh

Cc @btsarmyproject_ https:…",Twitter for Android,0,12
2022-10-04 03:20:56,1577136661443805184,"RT @abahgembos87: KALIAN SEMUA PEMBUNUH 
#KanjuruhanDisaster #PrayForKanjuruhan #aremania https://t.co/z4Xgu5kdCL",Twitter Web App,0,3903
2022-10-04 03:20:56,1577136659652431873,"RT @pamungkas_gus: Mayat berjatuhan di ruang pers. Kondisi di Stadion Kanjuruhan malam itu (1/10) memang tidak karuan.
-
Saya menulis penga…",Twitter for Android,0,1538
2022-10-04 03:20:51,1577136639700189185,"RT @IbnoeAhmad4: Tragedi Kanjuruhan yg dilakukan oleh TNI-AD baret hijau,,...akhirnya harus meregang nyawa,tanpa ada belas kasihan dari san…",Twitter for Android,0,9319
